Customer_ID,Preference Rate Towards Company_X,Rating Given,Company Chosen,Starting Location,Ending Location,Started Time,Ending Time,Unavailable Scooter,BREAKDOWN,Breakdown Time
653,0.45719973457199736,8,1,Manhattan,Jones,662,706,false,false,0
696,0.4652908067542214,0,1,Manhattan,Queens,706,781,true,false,0
693,0.46694560669456064,1,1,Stony,Queens,703,749,false,true,710
698,0.4652908067542214,0,0,Manhattan,Jones,709,772,true,false,0
632,0.4587675577707295,8,0,Manhattan,Jones,642,712,false,false,0
638,0.4585597826086957,9,0,Stony,Jones,644,712,false,false,0
675,0.46001719690455717,8,0,Queens,Stony,680,712,false,false,0
697,0.4652908067542214,1,1,Queens,Stony,707,738,false,true,712
700,0.46519383076281784,0,0,Manhattan,Queens,711,795,true,false,0
678,0.4601542416452442,4,1,Jones,Stony,682,759,false,true,713
599,0.46208195949128594,8,0,Manhattan,Queens,606,716,false,false,0
703,0.46748135874067936,0,0,Manhattan,Queens,715,779,true,false,0
655,0.45719973457199736,9,0,Stony,Queens,662,718,false,false,0
704,0.4693498452012384,0,1,Manhattan,Queens,718,827,true,false,0
709,0.4693498452012384,0,1,Manhattan,Queens,720,803,true,true,735
625,0.45891190530389253,9,0,Stony,Jones,635,723,false,false,0
659,0.4573694646397885,8,0,Stony,Queens,666,723,false,false,0
667,0.45861541821358376,9,1,Stony,Queens,673,724,false,false,0
689,0.4659400544959128,5,1,Manhattan,Jones,699,748,false,true,725
630,0.4587675577707295,8,1,Queens,Manhattan,640,730,false,false,0
647,0.4598474652310453,8,1,Manhattan,Jones,653,730,false,false,0
681,0.46306152863529915,4,1,Manhattan,Queens,685,798,false,true,732
643,0.458876404494382,9,1,Jones,Stony,649,733,false,false,0
626,0.4579736483416629,8,0,Manhattan,Queens,636,734,false,false,0
662,0.4573694646397885,9,0,Manhattan,Jones,669,734,false,false,0
682,0.46306152863529915,9,1,Queens,Stony,686,737,false,false,0
686,0.4660173618462841,9,1,Queens,Stony,692,737,false,false,0
695,0.46606807266652744,8,1,Queens,Stony,705,745,false,true,737
624,0.46058944482522274,8,1,Manhattan,Queens,634,739,false,false,0
636,0.4587675577707295,8,0,Stony,Jones,643,741,false,false,0
666,0.45766790636622184,8,0,Stony,Jones,672,747,false,false,0
679,0.4601542416452442,8,0,Stony,Jones,682,747,false,false,0
706,0.4693498452012384,8,1,Stony,Queens,718,754,false,true,748
684,0.46408839779005523,8,0,Queens,Manhattan,688,749,false,false,0
701,0.46519383076281784,9,1,Queens,Stony,711,751,false,false,0
707,0.4693498452012384,9,0,Queens,Stony,719,755,false,false,0
645,0.4598474652310453,8,1,Queens,Manhattan,652,757,false,false,0
663,0.4573694646397885,8,0,Stony,Jones,669,762,false,false,0
692,0.46694560669456064,9,0,Manhattan,Jones,703,762,false,false,0
673,0.46001719690455717,8,1,Queens,Manhattan,679,766,false,false,0
671,0.46090889511091965,9,1,Queens,Manhattan,678,769,false,false,0
669,0.45891003460207613,8,1,Queens,Manhattan,675,791,false,true,775
680,0.4620307167235495,8,1,Manhattan,Queens,684,775,false,false,0
665,0.4573694646397885,9,1,Queens,Manhattan,670,776,false,false,0
708,0.4693498452012384,8,0,Manhattan,Jones,719,778,false,false,0
685,0.4649978786593127,9,0,Queens,Manhattan,689,782,false,false,0
670,0.45904473741084934,9,1,Manhattan,Queens,677,788,false,false,0
688,0.4643682993483288,9,0,Jones,Stony,696,791,false,false,0
677,0.4592274678111588,8,0,Queens,Manhattan,681,796,false,false,0
690,0.4659400544959128,9,1,Stony,Jones,700,797,false,false,0
683,0.46408839779005523,8,0,Manhattan,Queens,687,799,false,false,0
699,0.46519383076281784,8,0,Queens,Manhattan,710,800,false,false,0
705,0.4693498452012384,9,0,Jones,Stony,718,803,false,false,0
691,0.4659400544959128,9,0,Queens,Manhattan,702,816,false,false,0
702,0.46748135874067936,8,1,Queens,Manhattan,713,821,false,false,0
